research_id,data_element_label,analytic_component,facility_types,module_titles,observed_source_codes,source_locations,source_version,provenance_status,currentness_note
HMIS-FORM-0001,10 year and above to below 19 years,Mortality and death review,CHC; Civil Hospital / SDH; District Hospital; HWC-PHC; HWC-SC; Medical College,Details of deaths reported:,14.8.2; 15.8.2; 16.9.2,CHC p.20; Civil Hospital / SDH p.21; District Hospital p.20; HWC-PHC p.20; HWC-SC p.14; Medical College p.17,Revised HMIS formats effective April 2025,Exact public form label; facility-specific codes retained; semantic normalization pending,Official state-hosted copy; confirm national implementation/version with MoHFW/NHSRC
HMIS-FORM-0002,5 years and above to below 10 years,Mortality and death review,CHC; Civil Hospital / SDH; District Hospital; HWC-PHC; HWC-SC; Medical College,Details of deaths reported:,14.8.1; 15.8.1; 16.9.1,CHC p.20; Civil Hospital / SDH p.21; District Hospital p.20; HWC-PHC p.20; HWC-SC p.14; Medical College p.17,Revised HMIS formats effective April 2025,Exact public form label; facility-specific codes retained; semantic normalization pending,Official state-hosted copy; confirm national implementation/version with MoHFW/NHSRC
HMIS-FORM-0003,Abortion (spontaneous),Antenatal care and high-risk pregnancy,CHC; Civil Hospital / SDH; District Hospital; HWC-PHC; HWC-SC; Medical College,Pregnancy outcome & details of new-born/children,3.2; 4.2,CHC p.4; Civil Hospital / SDH p.4; District Hospital p.4; HWC-PHC p.4; HWC-SC p.3; Medical College p.3,Revised HMIS formats effective April 2025,Exact public form label; facility-specific codes retained; semantic normalization pending,Official state-hosted copy; confirm national implementation/version with MoHFW/NHSRC
HMIS-FORM-0004,Acute Encephalitis Syndrome/ Japanese Encephalitis (AES/ JE),Vector-borne diseases,Civil Hospital / SDH; District Hospital; Medical College,National Vector Borne Disease Control Programme (NVBDCP),11.4,Civil Hospital / SDH p.11; District Hospital p.10; Medical College p.8,Revised HMIS formats effective April 2025,Exact public form label; facility-specific codes retained; semantic normalization pending,Official state-hosted copy; confirm national implementation/version with MoHFW/NHSRC
HMIS-FORM-0005,Adolescent Friendly Health Clinics (AFHCs),Adolescent health,CHC; Civil Hospital / SDH; District Hospital; HWC-PHC; Medical College,Adolescent Health,12.1,CHC p.11; Civil Hospital / SDH p.11; District Hospital p.10; HWC-PHC p.10; Medical College p.9,Revised HMIS formats effective April 2025,Exact public form label; facility-specific codes retained; semantic normalization pending,Official state-hosted copy; confirm national implementation/version with MoHFW/NHSRC
HMIS-FORM-0006,Adult 19 years and above,Mortality and death review,CHC; Civil Hospital / SDH; District Hospital; HWC-PHC; HWC-SC; Medical College,Details of deaths reported:,14.8.3; 15.8.3; 16.9.3,CHC p.20; Civil Hospital / SDH p.21; District Hospital p.20; HWC-PHC p.20; HWC-SC p.14; Medical College p.17,Revised HMIS formats effective April 2025,Exact public form label; facility-specific codes retained; semantic normalization pending,Official state-hosted copy; confirm national implementation/version with MoHFW/NHSRC
HMIS-FORM-0007,Adverse Event Following Immunisation (AEFI),Immunization,CHC; Civil Hospital / SDH; District Hospital; HWC-PHC; HWC-SC; Medical College,CHILD IMMUNISATION,8.6; 9.6,CHC p.9; Civil Hospital / SDH p.9; District Hospital p.8; HWC-PHC p.9; HWC-SC p.7; Medical College p.7,Revised HMIS formats effective April 2025,Exact public form label; facility-specific codes retained; semantic normalization pending,Official state-hosted copy; confirm national implementation/version with MoHFW/NHSRC
HMIS-FORM-0008,Age wise maternal deaths reported at block level (Home & Transit deaths),Mortality and death review,Block Headquarters,Mortality Details,3.2,Block Headquarters p.2,Revised HMIS formats effective April 2025,Exact public form label; facility-specific codes retained; semantic normalization pending,Official state-hosted copy; confirm national implementation/version with MoHFW/NHSRC
HMIS-FORM-0009,"Age wise total Maternal Deaths, occurred at Facility",Mortality and death review,CHC; Civil Hospital / SDH; District Hospital; HWC-PHC; HWC-SC; Medical College,Details of deaths reported:,14.5.8; 15.5.8; 16.5.8,CHC p.19; Civil Hospital / SDH p.20; District Hospital p.19; HWC-PHC p.19; HWC-SC p.13; Medical College p.16,Revised HMIS formats effective April 2025,Exact public form label; facility-specific codes retained; semantic normalization pending,Official state-hosted copy; confirm national implementation/version with MoHFW/NHSRC
HMIS-FORM-0010,Age wise total number of delivery (Home +Institutional) reported (2.3.1+2.3.2+2.3.3+2.3.4),Delivery and intrapartum care,CHC; Civil Hospital / SDH; District Hospital; HWC-PHC; HWC-SC,Deliveries,2.3,CHC p.3; Civil Hospital / SDH p.3; District Hospital p.3; HWC-PHC p.3; HWC-SC p.3,Revised HMIS formats effective April 2025,Exact public form label; facility-specific codes retained; semantic normalization pending,Official state-hosted copy; confirm national implementation/version with MoHFW/NHSRC
