id,objectType,name,definition,component,domain,versionStatus,sourceVersion,sourceAuthority,sourceUrl,measureType,scaleDisplay,normalizedFormula,denominatorPopulation,displayDefinition
"","Derived indicator","ANC registration rate","% of pregnant women who used ANC care provided by skilled health personnel","Antenatal care and high-risk pregnancy","Maternal, newborn and reproductive health","Historical technical definition","NHSRC HMIS programme-manager training manual, public PDF hosted 2021","National Health Systems Resource Centre","https://nhsrcindia.org/training-and-tools","Percentage/proportion","%","(numerator ÷ denominator) × 100","Estimated pregnancies","% of pregnant women who used ANC care provided by skilled health personnel. Denominator population: Estimated pregnancies."
"","Derived indicator","Early registration rate","Proportion of women who were registered within first trimester (12weeks) of pregnancy","Antenatal care and high-risk pregnancy","Maternal, newborn and reproductive health","Historical technical definition","NHSRC HMIS programme-manager training manual, public PDF hosted 2021","National Health Systems Resource Centre","https://nhsrcindia.org/training-and-tools","Percentage/proportion","%","(numerator ÷ denominator) × 100","Total ANC registered","Proportion of women who were registered within first trimester (12weeks) of pregnancy. Denominator population: Total ANC registered."
"","Derived indicator","TT2/Booster coverage rate","% of women who were given TT2/Booster dose during current pregnancy","Antenatal care and high-risk pregnancy","Maternal, newborn and reproductive health","Historical technical definition","NHSRC HMIS programme-manager training manual, public PDF hosted 2021","National Health Systems Resource Centre","https://nhsrcindia.org/training-and-tools","Percentage/proportion","%","(numerator ÷ denominator) × 100","Total ANC registered","% of women who were given TT2/Booster dose during current pregnancy. Denominator population: Total ANC registered."
"","Derived indicator","ANC 3 checkups rate","% of pregnant women who used antenatal care provided by skilled health personnel at least 3 times during pregnancy","Antenatal care and high-risk pregnancy","Maternal, newborn and reproductive health","Historical technical definition","NHSRC HMIS programme-manager training manual, public PDF hosted 2021","National Health Systems Resource Centre","https://nhsrcindia.org/training-and-tools","Percentage/proportion","%","(numerator ÷ denominator) × 100","Total ANC registered","% of pregnant women who used antenatal care provided by skilled health personnel at least 3 times during pregnancy. Denominator population: Total ANC registered."
"","Derived indicator","ANC 100 IFA coverage rate","% of women who were given at least 100 IFA tablets","Antenatal care and high-risk pregnancy","Maternal, newborn and reproductive health","Historical technical definition","NHSRC HMIS programme-manager training manual, public PDF hosted 2021","National Health Systems Resource Centre","https://nhsrcindia.org/training-and-tools","Percentage/proportion","%","(numerator ÷ denominator) × 100","Total ANC registered","% of women who were given at least 100 IFA tablets. Denominator population: Total ANC registered."
"","Derived indicator","Full immunization coverage rate","% of children aged between 9 and 11 months who have been fully immunized (Child given one dose of BCG, three dosages of DPT i.e. DPT 1,2,3; three dosages of polio i.e. OPV 1,2,3 and a dosage of Measles)","Immunization","Child, adolescent and nutrition services","Historical technical definition","NHSRC HMIS programme-manager training manual, public PDF hosted 2021","National Health Systems Resource Centre","https://nhsrcindia.org/training-and-tools","Percentage/proportion","%","(numerator ÷ denominator) × 100","Estimated children below 1 year","% of children aged between 9 and 11 months who have been fully immunized (Child given one dose of BCG, three dosages of DPT i.e. DPT 1,2,3; three dosages of polio i.e. OPV 1,2,3 and a dosage of Measles). Denominator population: Estimated children below 1 year."
"","Derived indicator","BCG Coverage rate","The percentage of live births that received BCG within one year","Immunization","Child, adolescent and nutrition services","Historical technical definition","NHSRC HMIS programme-manager training manual, public PDF hosted 2021","National Health Systems Resource Centre","https://nhsrcindia.org/training-and-tools","Percentage/proportion","%","(numerator ÷ denominator) × 100","Estimated children below 1 year","The percentage of live births that received BCG within one year. Denominator population: Estimated children below 1 year."
"","Derived indicator","DPT3 Coverage rate","The percentage of children who received their 3 doses of DTP-3","Immunization","Child, adolescent and nutrition services","Historical technical definition","NHSRC HMIS programme-manager training manual, public PDF hosted 2021","National Health Systems Resource Centre","https://nhsrcindia.org/training-and-tools","Percentage/proportion","%","(numerator ÷ denominator) × 100","Estimated children below 1 year","The percentage of children who received their 3 doses of DTP-3. Denominator population: Estimated children below 1 year."
"","Derived indicator","OPV3 Coverage rate","The percentage of children under 1 immunised with OPV dose 3.","Immunization","Child, adolescent and nutrition services","Historical technical definition","NHSRC HMIS programme-manager training manual, public PDF hosted 2021","National Health Systems Resource Centre","https://nhsrcindia.org/training-and-tools","Percentage/proportion","%","(numerator ÷ denominator) × 100","Estimated children below 1 year","The percentage of children under 1 immunised with OPV dose 3. Denominator population: Estimated children below 1 year."
"","Derived indicator","Measles coverage rate","The percentage of children who received their measles dose (normally at 9 months)","Immunization","Child, adolescent and nutrition services","Historical technical definition","NHSRC HMIS programme-manager training manual, public PDF hosted 2021","National Health Systems Resource Centre","https://nhsrcindia.org/training-and-tools","Percentage/proportion","%","(numerator ÷ denominator) × 100","Estimated children below 1 year","The percentage of children who received their measles dose (normally at 9 months). Denominator population: Estimated children below 1 year."
