ogd_code,published_label,object_class,exact_label_present_in_april_2025_forms,source_period,source_resource,currentness
1,Estimated Number of Annual Pregnancies #,Published aggregate/count,No,FY 2019-20,OGD resource 6817214,Historical; verify against live HMIS
2,Total number of pregnant women Registered for ANC,Published aggregate/count,No,FY 2019-20,OGD resource 6817214,Historical; verify against live HMIS
3,% ANC Registered to Estimated Pregnancies,Derived/calculated output,No,FY 2019-20,OGD resource 6817214,Historical; verify against live HMIS
4,Number of Pregnant women registered within first trimester,Published aggregate/count,No,FY 2019-20,OGD resource 6817214,Historical; verify against live HMIS
5,% 1st Trimester registration to Total ANC Registrations,Derived/calculated output,No,FY 2019-20,OGD resource 6817214,Historical; verify against live HMIS
6,Number of pregnant women received 4 or more ANC check ups,Published aggregate/count,No,FY 2019-20,OGD resource 6817214,Historical; verify against live HMIS
7,TT2 given to Pregnant women (numbers),Published aggregate/count,No,FY 2019-20,OGD resource 6817214,Historical; verify against live HMIS
8,TT Booster given to Pregnant women (numbers),Published aggregate/count,No,FY 2019-20,OGD resource 6817214,Historical; verify against live HMIS
9,% Pregnant Woman received 4 ANC check ups to Total ANC Registrations,Derived/calculated output,No,FY 2019-20,OGD resource 6817214,Historical; verify against live HMIS
10,% Pregnant women received TT2+ TT Booster to Total ANC Registration,Derived/calculated output,No,FY 2019-20,OGD resource 6817214,Historical; verify against live HMIS
11,Number of Pregnant women given 180 IFA tablets,Published aggregate/count,No,FY 2019-20,OGD resource 6817214,Historical; verify against live HMIS
12,% Pregnant women given 180 IFA to Total ANC Registration,Derived/calculated output,No,FY 2019-20,OGD resource 6817214,Historical; verify against live HMIS
13,Number of Pregnant Women having Hb level<11 (tested cases),Published aggregate/count,No,FY 2019-20,OGD resource 6817214,Historical; verify against live HMIS
14,Number of Pregnant Women having severe anaemia (Hb<7) treated at institution,Published aggregate/count,No,FY 2019-20,OGD resource 6817214,Historical; verify against live HMIS
15,% Pregnant women having severe anaemia (Hb<7) treated at institution to women having hb level<7,Derived/calculated output,No,FY 2019-20,OGD resource 6817214,Historical; verify against live HMIS
16,% New cases of Pregnant Women detected at institution for hypertension to Total ANC Registrations,Derived/calculated output,No,FY 2019-20,OGD resource 6817214,Historical; verify against live HMIS
