legacy_item_code_as_published,normalized_item_code,parameter_label,reported_types,geographies_observed,resource_rows,source_period,currentness
'1.1',1.1,Total number of pregnant women registered for ANC,TOTAL,38,38,FY 2019-20,Historical crosswalk only; published code-string variants retained
'1.1.1',1.1.1,"Out of the total ANC registered, number registered within 1st trimester (within 12 weeks)",TOTAL,38,38,FY 2019-20,Historical crosswalk only; published code-string variants retained
'1.2.1',1.2.1,Number of PW given�TT1,TOTAL,38,38,FY 2019-20,Historical crosswalk only; published code-string variants retained
'1.2.2',1.2.2,Number of PW given�TT2,TOTAL,38,38,FY 2019-20,Historical crosswalk only; published code-string variants retained
'1.2.3',1.2.3,Number of PW given�TT Booster,TOTAL,38,38,FY 2019-20,Historical crosswalk only; published code-string variants retained
'1.2.4',1.2.4,Number of PW given 180 Iron Folic Acid (IFA) tablets,TOTAL,38,38,FY 2019-20,Historical crosswalk only; published code-string variants retained
'1.2.5',1.2.5,Number of PW given 360 Calcium tablets,TOTAL,38,38,FY 2019-20,Historical crosswalk only; published code-string variants retained
'1.2.6',1.2.6,Number of PW given one Albendazole tablet after 1st trimester,TOTAL,38,38,FY 2019-20,Historical crosswalk only; published code-string variants retained
'1.2.7',1.2.7,Number of PW received 4 or more ANC check ups,TOTAL,38,38,FY 2019-20,Historical crosswalk only; published code-string variants retained
'1.2.8',1.2.8,Number of PW given ANC Corticosteroids in Pre Term Labour,TOTAL,38,38,FY 2019-20,Historical crosswalk only; published code-string variants retained
'1.3.1',1.3.1,New cases of PW with hypertension detected,TOTAL,38,38,FY 2019-20,Historical crosswalk only; published code-string variants retained
'1.3.1.a',1.3.1.a,"Out of the new cases of PW with hypertension detected, cases managed at institution",TOTAL,38,38,FY 2019-20,Historical crosswalk only; published code-string variants retained
'1.3.2',1.3.2,Number of Eclampsia cases managed during delivery,TOTAL,38,38,FY 2019-20,Historical crosswalk only; published code-string variants retained
'1.4.1',1.4.1,Number of PW tested for Haemoglobin (Hb ) 4 or more than 4 times for respective ANCs,TOTAL,38,38,FY 2019-20,Historical crosswalk only; published code-string variants retained
'1.4.2',1.4.2,Number of PW having Hb level<11 (tested cases)(7.1 to 10.9),TOTAL,38,38,FY 2019-20,Historical crosswalk only; published code-string variants retained
'1.4.3',1.4.3,Number of PW having Hb level<7 (tested cases),TOTAL,38,38,FY 2019-20,Historical crosswalk only; published code-string variants retained
'1.4.4',1.4.4,Number of PW having severe anaemia (Hb<7) treated,TOTAL,38,38,FY 2019-20,Historical crosswalk only; published code-string variants retained
'1.5.1',1.5.1,Number of PW tested for blood sugar using OGTT (Oral Glucose Tolerance Test),TOTAL,38,38,FY 2019-20,Historical crosswalk only; published code-string variants retained
'1.5.2',1.5.2,Number of PW tested positive for GDM,TOTAL,38,38,FY 2019-20,Historical crosswalk only; published code-string variants retained
'1.5.3',1.5.3,Number of PW given insulin out of total tested positive for GDM,TOTAL,38,38,FY 2019-20,Historical crosswalk only; published code-string variants retained
