indicator,definition,numerator,denominator,multiplying_factor,suggested_level,periodicity,source_page,source_table,source_version
ANC registration rate,% of pregnant women who used ANC care provided by skilled health personnel,Total ANC registered,Estimated pregnancies,100,"National, State, District/ Block","Annual, Semiannual",23,1,"NHSRC HMIS programme-manager training manual, public PDF hosted 2021"
Early registration rate,Proportion of women who were registered within first trimester (12weeks) of pregnancy,Total no. of ANC registered within first trimester (12weeks),Total ANC registered,100,"National, State, District/ Block","Quarterly, annual",23,1,"NHSRC HMIS programme-manager training manual, public PDF hosted 2021"
TT2/Booster coverage rate,% of women who were given TT2/Booster dose during current pregnancy,Total no. pregnant women given TT2/booster,Total ANC registered,100,"State, District/ Block","Annual, semiannual",23,1,"NHSRC HMIS programme-manager training manual, public PDF hosted 2021"
ANC 3 checkups rate,% of pregnant women who used antenatal care provided by skilled health personnel at least 3 times during pregnancy,Total ANC 3 check ups,Total ANC registered,100,"State, District/ Block","Annual, semiannual",23,1,"NHSRC HMIS programme-manager training manual, public PDF hosted 2021"
ANC 100 IFA coverage rate,% of women who were given at least 100 IFA tablets,Total no. of ANC women given 100 IFA tablets,Total ANC registered,100,"State, District/ Block","Annual, semiannual",23,1,"NHSRC HMIS programme-manager training manual, public PDF hosted 2021"
Full immunizat ion coverage rate,"% of children aged between 9 and 11 months who have been fully immunized (Child given one dose of BCG, three dosages of DPT i.e. DPT 1,2,3; three dosages of polio i.e. OPV 1,2,3 and a dosage of Measles)",Total Number of children aged between 9 and 11 months who have been fully immunized,Estimated children below 1 year,100,"National, State , District and Block","Annual, semiannual",25,1,"NHSRC HMIS programme-manager training manual, public PDF hosted 2021"
BCG Coverage rate,The percentage of live births that received BCG within one year,BCG dose under 1 year,Estimated children below 1 year,100,"National, State , District and Block","Annual, semiannual",25,1,"NHSRC HMIS programme-manager training manual, public PDF hosted 2021"
DPT3 Coverage rate,The percentage of children who received their 3 doses of DTP-3,DPT 3 dose under 1 year,Estimated children below 1 year,100,"National, State , District and Block","Annual, semiannual",25,1,"NHSRC HMIS programme-manager training manual, public PDF hosted 2021"
OPV3 Coverage rate,The percentage of children under 1 immunised with OPV dose 3.,OPV 3 dose under 1 year,Estimated children below 1 year,100,"National, State , District and Block","Annual, semiannual",26,1,"NHSRC HMIS programme-manager training manual, public PDF hosted 2021"
Measles coverage rate,The percentage of children who received their measles dose (normally at 9 months),Measles dose under 1 year,Estimated children below 1 year,100,"National, State , District and Block","Annual, semiannual",26,1,"NHSRC HMIS programme-manager training manual, public PDF hosted 2021"
BCG - measles dropout rates,% of children who dropped out of immunisation schedule between BCG dose measles dose,"Total number of infants (0-11 months), given BCG immunization- number of children given measles",Number of children given BCG,100,State and District,Annual,27,1,"NHSRC HMIS programme-manager training manual, public PDF hosted 2021"
DPT3 - Measles dropout rate,The percentage of children who dropped out of the immunisation schedule between the third doses (normally at 14 weeks) and the measles dose (normally at 9 months),Number of children given DPT 3 – number of children given measles,Number of children given DPT3,100,State and District,Annual,27,1,"NHSRC HMIS programme-manager training manual, public PDF hosted 2021"
Institutional delivery Rate (Public facilities ),% of deliveries conducted at public institution/facility,Deliveries at public institution/facility,Estimated deliveries,100,State and District,"Annual, semiannual",29,1,"NHSRC HMIS programme-manager training manual, public PDF hosted 2021"
Institutional delivery Rate,% of deliveries conducted at public and private institution/facility,Deliveries at public and private institution/facility,Estimated deliveries,100,State and District,"Annual, semiannual",29,1,"NHSRC HMIS programme-manager training manual, public PDF hosted 2021"
Home Delivery Rate,% of deliveries conducted at home,Number of home deliveries,Estimated deliveries,100,State and District,"Annual, semiannual",29,1,"NHSRC HMIS programme-manager training manual, public PDF hosted 2021"
Skilled Birth Attendant (SBA) Delivery Rate,Proportion of total deliveries assisted by a Skilled Birth Attendant (at home and at institutions),Deliveries by SBA (SBA Home + all Institutional deliveries),Total reported deliveries,100,State and District,"Quarterly, annual",29,1,"NHSRC HMIS programme-manager training manual, public PDF hosted 2021"
Caesarean section rate,Proportion of C- section deliveries out of total reported institutional deliveries.,Number. of caesarian section done,Total institutional deliveries (Caesarean section + Normal delivery),100,State and District,"Quarterly, annual",30,1,"NHSRC HMIS programme-manager training manual, public PDF hosted 2021"
PNC (within 48hrs) rate,% of women who received post natal care checkup done within 48 hrs of delivery,Number of women who received post partum check-ups within 48 hrs after deliver,Reported deliveries (Institutional + Home),100,"State, District and Block","Quarterly, annual",31,1,"NHSRC HMIS programme-manager training manual, public PDF hosted 2021"
PNC (between 48hrs & 14 days)rate,% of women who received post natal care checkup done between 48 hrs and 14 days of delivery,Number of women who received post partum check-ups between 48 hrs and 14 days of delivery,Reported deliveries (Institutional + Home),100,"State, District and Block","Quarterly, annual",31,1,"NHSRC HMIS programme-manager training manual, public PDF hosted 2021"
