occurrenceId,schemaId,columnOrdinal,moduleCode,moduleTitle,sourceCode,exactSourceLabel,canonicalElementId,canonicalElementLabel,matchMethod,labelRelation,moduleCompatibility,codeAlignment,canonicalObservedCodes,reconciliationStatus,reviewBasis,reviewStatus,candidateElementId
HMIS-RPTCOL-JH-0036,HMIS-RPTSCHEMA-JHARKHAND-20260901-001,36,M1,Ante Natal Care (ANC),1.1,Total number of NEW Pregnant Women registered for ANC,HMIS-DE-0681,Total number of NEW Pregnant Women registered for ANC,Deterministic normalized-label match,Exact source label,Compatible,Existing observed code,1.1,Accepted canonical link,"Header, controlled normalization, module context and canonical April-2025 element dictionary",Analyst-reviewed deterministic rule; custodian validation pending,
HMIS-RPTCOL-JH-0037,HMIS-RPTSCHEMA-JHARKHAND-20260901-001,37,M1,Ante Natal Care (ANC),1.1.a,Out of total number of NEW Pregnant Women registered with age less than <15 years,HMIS-DE-0593,Out of total number of NEW pregnant women registered with age less than <15 years,Deterministic normalized-label match,Controlled normalized equivalent,Compatible,Existing observed code,1.1.a,Accepted canonical link,"Header, controlled normalization, module context and canonical April-2025 element dictionary",Analyst-reviewed deterministic rule; custodian validation pending,
HMIS-RPTCOL-JH-0038,HMIS-RPTSCHEMA-JHARKHAND-20260901-001,38,M1,Ante Natal Care (ANC),1.1.b,Out of total number of NEW Pregnant Women registered with age 15-19 years,HMIS-DE-0592,Out of total number of NEW pregnant women registered with age 15-19 years,Deterministic normalized-label match,Controlled normalized equivalent,Compatible,Existing observed code,1.1.b,Accepted canonical link,"Header, controlled normalization, module context and canonical April-2025 element dictionary",Analyst-reviewed deterministic rule; custodian validation pending,
HMIS-RPTCOL-JH-0039,HMIS-RPTSCHEMA-JHARKHAND-20260901-001,39,M1,Ante Natal Care (ANC),1.1.c,Out of total number of NEW Pregnant Women registered with age more than >19 to 49 years,HMIS-DE-0594,Out of total number of NEW pregnant women registered with age more than >19 to 49 years,Deterministic normalized-label match,Controlled normalized equivalent,Compatible,Existing observed code,1.1.c,Accepted canonical link,"Header, controlled normalization, module context and canonical April-2025 element dictionary",Analyst-reviewed deterministic rule; custodian validation pending,
HMIS-RPTCOL-JH-0040,HMIS-RPTSCHEMA-JHARKHAND-20260901-001,40,M1,Ante Natal Care (ANC),1.1.d,Out of total number of NEW Pregnant Women registered with age more than >49 years,HMIS-DE-0595,Out of total number of NEW pregnant women registered with age more than >49 years,Deterministic normalized-label match,Controlled normalized equivalent,Compatible,Existing observed code,1.1.d,Accepted canonical link,"Header, controlled normalization, module context and canonical April-2025 element dictionary",Analyst-reviewed deterministic rule; custodian validation pending,
HMIS-RPTCOL-JH-0041,HMIS-RPTSCHEMA-JHARKHAND-20260901-001,41,M1,Ante Natal Care (ANC),1.1.1,"Out of the total NEW ANC registered, number registered within 1st trimester (within 12 weeks)",HMIS-DE-0573,"Out of the total NEW ANC registered, number registered within 1st trimester (within 12 weeks)",Deterministic normalized-label match,Exact source label,Compatible,Existing observed code,1.1.1,Accepted canonical link,"Header, controlled normalization, module context and canonical April-2025 element dictionary",Analyst-reviewed deterministic rule; custodian validation pending,
HMIS-RPTCOL-JH-0042,HMIS-RPTSCHEMA-JHARKHAND-20260901-001,42,M1,Ante Natal Care (ANC),1.1.2,Total ANC footfall/cases (Old cases + New Registration) attended,HMIS-DE-0624,Total ANC footfall/cases (Old cases + New Registration) attended,Deterministic normalized-label match,Exact source label,Compatible,Existing observed code,1.1.2,Accepted canonical link,"Header, controlled normalization, module context and canonical April-2025 element dictionary",Analyst-reviewed deterministic rule; custodian validation pending,
HMIS-RPTCOL-JH-0043,HMIS-RPTSCHEMA-JHARKHAND-20260901-001,43,M1,Ante Natal Care (ANC),1.2.1,Number of PW given Td1 (Tetanus Diptheria dose 1),HMIS-DE-0493,Number of PW given Td1 (Tetanus Diptheria dose 1),Deterministic normalized-label match,Exact source label,Compatible,Existing observed code,1.2.1,Accepted canonical link,"Header, controlled normalization, module context and canonical April-2025 element dictionary",Analyst-reviewed deterministic rule; custodian validation pending,
HMIS-RPTCOL-JH-0044,HMIS-RPTSCHEMA-JHARKHAND-20260901-001,44,M1,Ante Natal Care (ANC),1.2.2,Number of PW given Td2 (Tetanus Diptheria dose 2),HMIS-DE-0494,Number of PW given Td2 (Tetanus Diptheria dose 2),Deterministic normalized-label match,Exact source label,Compatible,Existing observed code,1.2.2,Accepted canonical link,"Header, controlled normalization, module context and canonical April-2025 element dictionary",Analyst-reviewed deterministic rule; custodian validation pending,
HMIS-RPTCOL-JH-0045,HMIS-RPTSCHEMA-JHARKHAND-20260901-001,45,M1,Ante Natal Care (ANC),1.2.3,Number of PW given Td Booster (Tetanus Diptheria dose booster),HMIS-DE-0492,Number of PW given Td Booster (Tetanus Diptheria dose booster),Deterministic normalized-label match,Exact source label,Compatible,Existing observed code,1.2.3,Accepted canonical link,"Header, controlled normalization, module context and canonical April-2025 element dictionary",Analyst-reviewed deterministic rule; custodian validation pending,
HMIS-RPTCOL-JH-0046,HMIS-RPTSCHEMA-JHARKHAND-20260901-001,46,M1,Ante Natal Care (ANC),1.2.4,Number of PW provided full course 180 Iron Folic Acid (IFA) tablets,HMIS-DE-0497,Number of PW provided full course 180 Iron Folic Acid (IFA) tablets,Deterministic normalized-label match,Exact source label,Compatible,Existing observed code,1.2.4,Accepted canonical link,"Header, controlled normalization, module context and canonical April-2025 element dictionary",Analyst-reviewed deterministic rule; custodian validation pending,
HMIS-RPTCOL-JH-0047,HMIS-RPTSCHEMA-JHARKHAND-20260901-001,47,M1,Ante Natal Care (ANC),1.2.5,Number of PW provided full course 360 Calcium tablets,HMIS-DE-0498,Number of PW provided full course 360 Calcium tablets,Deterministic normalized-label match,Exact source label,Compatible,Existing observed code,1.2.5,Accepted canonical link,"Header, controlled normalization, module context and canonical April-2025 element dictionary",Analyst-reviewed deterministic rule; custodian validation pending,
HMIS-RPTCOL-JH-0048,HMIS-RPTSCHEMA-JHARKHAND-20260901-001,48,M1,Ante Natal Care (ANC),1.2.6,Number of PW given one Albendazole tablet after 1st trimester,HMIS-DE-0490,Number of PW given one Albendazole tablet after 1st trimester,Deterministic normalized-label match,Exact source label,Compatible,Existing observed code,1.2.6,Accepted canonical link,"Header, controlled normalization, module context and canonical April-2025 element dictionary",Analyst-reviewed deterministic rule; custodian validation pending,
HMIS-RPTCOL-JH-0049,HMIS-RPTSCHEMA-JHARKHAND-20260901-001,49,M1,Ante Natal Care (ANC),1.2.7,Number of PW received 4 or more ANC check ups,HMIS-DE-0499,Number of PW received 4 or more ANC check ups,Deterministic normalized-label match,Exact source label,Compatible,Existing observed code,1.2.7,Accepted canonical link,"Header, controlled normalization, module context and canonical April-2025 element dictionary",Analyst-reviewed deterministic rule; custodian validation pending,
HMIS-RPTCOL-JH-0050,HMIS-RPTSCHEMA-JHARKHAND-20260901-001,50,M1,Ante Natal Care (ANC),1.2.8,Number of PW given ANC Corticosteroids in Pre-Term Labour,HMIS-DE-0489,Number of PW given ANC Corticosteroids in Pre-Term Labour,Deterministic normalized-label match,Exact source label,Compatible,Existing observed code,1.2.8,Accepted canonical link,"Header, controlled normalization, module context and canonical April-2025 element dictionary",Analyst-reviewed deterministic rule; custodian validation pending,
