aliasId,schemaId,occurrenceId,canonicalElementId,sourceLabel,canonicalLabel,aliasClass,moduleCode,reviewDecision,effectiveObservationDate,custodianValidation
HMIS-ALIAS-JH-001,HMIS-RPTSCHEMA-JHARKHAND-20260901-001,HMIS-RPTCOL-JH-0037,HMIS-DE-0593,Out of total number of NEW Pregnant Women registered with age less than <15 years,Out of total number of NEW pregnant women registered with age less than <15 years,Controlled normalized equivalent,M1,Accepted canonical link,2026-09-01,Pending
HMIS-ALIAS-JH-002,HMIS-RPTSCHEMA-JHARKHAND-20260901-001,HMIS-RPTCOL-JH-0038,HMIS-DE-0592,Out of total number of NEW Pregnant Women registered with age 15-19 years,Out of total number of NEW pregnant women registered with age 15-19 years,Controlled normalized equivalent,M1,Accepted canonical link,2026-09-01,Pending
HMIS-ALIAS-JH-003,HMIS-RPTSCHEMA-JHARKHAND-20260901-001,HMIS-RPTCOL-JH-0039,HMIS-DE-0594,Out of total number of NEW Pregnant Women registered with age more than >19 to 49 years,Out of total number of NEW pregnant women registered with age more than >19 to 49 years,Controlled normalized equivalent,M1,Accepted canonical link,2026-09-01,Pending
HMIS-ALIAS-JH-004,HMIS-RPTSCHEMA-JHARKHAND-20260901-001,HMIS-RPTCOL-JH-0040,HMIS-DE-0595,Out of total number of NEW Pregnant Women registered with age more than >49 years,Out of total number of NEW pregnant women registered with age more than >49 years,Controlled normalized equivalent,M1,Accepted canonical link,2026-09-01,Pending
HMIS-ALIAS-JH-005,HMIS-RPTSCHEMA-JHARKHAND-20260901-001,HMIS-RPTCOL-JH-0056,HMIS-DE-0501,Number of PW tested for Haemoglobin (Hb) 4 or more than 4 times for respective ANCs,Number of PW tested for Haemoglobin (Hb ) 4 or more than 4 times for respective ANCs,Controlled normalized equivalent,M1,Accepted canonical link,2026-09-01,Pending
HMIS-ALIAS-JH-006,HMIS-RPTSCHEMA-JHARKHAND-20260901-001,HMIS-RPTCOL-JH-0065,HMIS-DE-0483,Number of pregnant/DIL women found Seropositive for Syphilis by VDRL/RPR/TPHA/RDT/PoC test,Number of pregnant/DIL women found seropositive for Syphilis by VDRL/RPR/TPHA/RDT/PoC test,Controlled normalized equivalent,M1,Accepted canonical link,2026-09-01,Pending
HMIS-ALIAS-JH-007,HMIS-RPTSCHEMA-JHARKHAND-20260901-001,HMIS-RPTCOL-JH-0067,HMIS-DE-0399,Number of live births among Syphilis Seropositive Pregnant Women,Number of live births among Syphilis seropositive Pregnant Women,Controlled normalized equivalent,M1,Accepted canonical link,2026-09-01,Pending
HMIS-ALIAS-JH-008,HMIS-RPTSCHEMA-JHARKHAND-20260901-001,HMIS-RPTCOL-JH-0076,HMIS-DE-0469,Number of Pregnant Women only with Post-Partum Haemorrhage(Immediately after delivery) in the facility,Number of Pregnant Women only with Post-Partum Haemorrhage (Immediately after delivery) in the facility,Controlled normalized equivalent,M1,Accepted canonical link,2026-09-01,Pending
HMIS-ALIAS-JH-009,HMIS-RPTSCHEMA-JHARKHAND-20260901-001,HMIS-RPTCOL-JH-0091,HMIS-DE-0578,"Out of total Institutional deliveries, number of Institutional Deliveries (Excluding C-Sections) conducted at night (8 PM- 8 AM)","Out of total Institutional deliveries, number of Institutional Deliveries (Excluding C- Sections) conducted at night (8 PM- 8 AM)",Controlled normalized equivalent,M2,Accepted canonical link,2026-09-01,Pending
HMIS-ALIAS-JH-010,HMIS-RPTSCHEMA-JHARKHAND-20260901-001,HMIS-RPTCOL-JH-0106,HMIS-DE-0186,Fresh Stillbirth - Intrapartum Stillbirth (28 weeks & above),Intrapartum (Fresh) Still Birth,Reviewed alias,M4,Accepted canonical link,2026-09-01,Pending
