candidateElementId,occurrenceId,schemaId,columnOrdinal,moduleCode,moduleTitle,sourceCode,exactSourceLabel,candidateFamily,evidenceLevel,independentCustodianVerification,originalWorkbookVerification,proposedDisposition,bestExistingCandidates,reviewStatus
HMIS-DE-CAND-STATE-001,HMIS-RPTCOL-STATE-0108,HMIS-RPTSCHEMA-STATE-20260901-001,108,M4,Pregnancy outcome & details of new-born,4.1.3.c,Foetal Death (24–27 completed weeks),Pregnancy outcome gestational-age split,Observed in checksum-preserved user-supplied State HMIS header extract,Not obtained,Not possible—original workbook unavailable,Hold as candidate; do not increase canonical 700-element count,"[{'elementId': 'HMIS-DE-0108', 'name': 'Details of deaths reported', 'similarity': 0.5}, {'elementId': 'HMIS-DE-0229', 'name': 'Maternal Death in transit to be reported at Block level', 'similarity': 0.449}, {'elementId': 'HMIS-DE-0142', 'name': 'High Risk /Complicated Pregnancies', 'similarity': 0.448}]",Manual source/custodian confirmation required
HMIS-DE-CAND-STATE-002,HMIS-RPTCOL-STATE-0389,HMIS-RPTSCHEMA-STATE-20260901-001,389,M14,Patient Services,14.13.1.a.ii,Number of Pregnant women provided free medicines during delivery under JSSK,JSSK beneficiary service-stage split,Observed in checksum-preserved user-supplied State HMIS header extract,Not obtained,Not possible—original workbook unavailable,Hold as candidate; do not increase canonical 700-element count,"[{'elementId': 'HMIS-DE-0474', 'name': 'Number of pregnant women provided free medicines during ANC period under JSSK', 'similarity': 0.908}, {'elementId': 'HMIS-DE-0473', 'name': 'Number of pregnant women provided free diagnostics during ANC period under JSSK', 'similarity': 0.831}, {'elementId': 'HMIS-DE-0471', 'name': 'Number of pregnant women provided - Free Home to facility transport for conducting delivery under JSSK', 'similarity': 0.811}]",Manual source/custodian confirmation required
HMIS-DE-CAND-STATE-003,HMIS-RPTCOL-STATE-0390,HMIS-RPTSCHEMA-STATE-20260901-001,390,M14,Patient Services,14.13.1.a.iii,Number of PNC mothers provided free medicines under JSSK,JSSK beneficiary service-stage split,Observed in checksum-preserved user-supplied State HMIS header extract,Not obtained,Not possible—original workbook unavailable,Hold as candidate; do not increase canonical 700-element count,"[{'elementId': 'HMIS-DE-0512', 'name': 'Number of sick infants provided - Free Medicines under JSSK', 'similarity': 0.85}, {'elementId': 'HMIS-DE-0488', 'name': 'Number of PW and PNC beneficiaries provided - Free Medicines under JSSK', 'similarity': 0.832}, {'elementId': 'HMIS-DE-0529', 'name': 'Number of women provided - Free Diet under JSSK', 'similarity': 0.792}]",Manual source/custodian confirmation required
HMIS-DE-CAND-STATE-004,HMIS-RPTCOL-STATE-0393,HMIS-RPTSCHEMA-STATE-20260901-001,393,M14,Patient Services,14.13.1.c.ii,Number of Pregnant women provided free diagnostics during delivery under JSSK,JSSK beneficiary service-stage split,Observed in checksum-preserved user-supplied State HMIS header extract,Not obtained,Not possible—original workbook unavailable,Hold as candidate; do not increase canonical 700-element count,"[{'elementId': 'HMIS-DE-0473', 'name': 'Number of pregnant women provided free diagnostics during ANC period under JSSK', 'similarity': 0.91}, {'elementId': 'HMIS-DE-0474', 'name': 'Number of pregnant women provided free medicines during ANC period under JSSK', 'similarity': 0.831}, {'elementId': 'HMIS-DE-0471', 'name': 'Number of pregnant women provided - Free Home to facility transport for conducting delivery under JSSK', 'similarity': 0.791}]",Manual source/custodian confirmation required
HMIS-DE-CAND-STATE-005,HMIS-RPTCOL-STATE-0394,HMIS-RPTSCHEMA-STATE-20260901-001,394,M14,Patient Services,14.13.1.c.iii,Number of PNC mothers provided free diagnostics under JSSK,JSSK beneficiary service-stage split,Observed in checksum-preserved user-supplied State HMIS header extract,Not obtained,Not possible—original workbook unavailable,Hold as candidate; do not increase canonical 700-element count,"[{'elementId': 'HMIS-DE-0510', 'name': 'Number of sick infants provided - Free Diagnostics under JSSK', 'similarity': 0.855}, {'elementId': 'HMIS-DE-0487', 'name': 'Number of PW and PNC beneficiaries provided - Free Diagnostics under JSSK', 'similarity': 0.837}, {'elementId': 'HMIS-DE-0529', 'name': 'Number of women provided - Free Diet under JSSK', 'similarity': 0.777}]",Manual source/custodian confirmation required
HMIS-DE-CAND-STATE-006,HMIS-RPTCOL-STATE-0420,HMIS-RPTSCHEMA-STATE-20260901-001,420,M14,Patient Services,14.18.3,Total number of awareness campaigns/camps conducted for Mental Health,Mental-health outreach activity,Observed in checksum-preserved user-supplied State HMIS header extract,Not obtained,Not possible—original workbook unavailable,Hold as candidate; do not increase canonical 700-element count,"[{'elementId': 'HMIS-DE-0657', 'name': 'Total number of breakdown calls reported for the month', 'similarity': 0.618}, {'elementId': 'HMIS-DE-0689', 'name': 'Total number of postmortem conducted at the facility', 'similarity': 0.612}, {'elementId': 'HMIS-DE-0686', 'name': 'Total number of Outreach/Special Outreach camps conducted in the reportingmonth', 'similarity': 0.604}]",Manual source/custodian confirmation required
HMIS-DE-CAND-STATE-007,HMIS-RPTCOL-STATE-0429,HMIS-RPTSCHEMA-STATE-20260901-001,429,M14,Patient Services,14.20.2.b.ii,Total number of patients found positive for HBsAg eligible for treatment for hepatitis B (excluding pregnant women),Viral hepatitis care cascade,Observed in checksum-preserved user-supplied State HMIS header extract,Not obtained,Not possible—original workbook unavailable,Hold as candidate; do not increase canonical 700-element count,"[{'elementId': 'HMIS-DE-0652', 'name': 'Total number of blood samples tested positive by ELISA/ Rapid tests for Hepatitis B (out of those tested for HBsAg excluding pregnant women)', 'similarity': 0.656}, {'elementId': 'HMIS-DE-0655', 'name': 'Total number of blood samples tested positive by ELISA/ Rapid tests for viral hepatitis & its management', 'similarity': 0.579}, {'elementId': 'HMIS-DE-0463', 'name': 'Number of Pregnant Women found positive for HBsAg delivered in an institution', 'similarity': 0.579}]",Manual source/custodian confirmation required
HMIS-DE-CAND-STATE-008,HMIS-RPTCOL-STATE-0430,HMIS-RPTSCHEMA-STATE-20260901-001,430,M14,Patient Services,14.20.2.b.iii,Total number of patients eligible for treatment for Hepatitis B put on treatment(out of those eligible for treatment excluding pregnant women),Viral hepatitis care cascade,Observed in checksum-preserved user-supplied State HMIS header extract,Not obtained,Not possible—original workbook unavailable,Hold as candidate; do not increase canonical 700-element count,"[{'elementId': 'HMIS-DE-0652', 'name': 'Total number of blood samples tested positive by ELISA/ Rapid tests for Hepatitis B (out of those tested for HBsAg excluding pregnant women)', 'similarity': 0.662}, {'elementId': 'HMIS-DE-0687', 'name': 'Total number of positive blood samples for hepatitis B by ELISA/ Rapid tests tested for HBV DNA(out of those tested positive for HBsAg excluding pregnant women)', 'similarity': 0.635}, {'elementId': 'HMIS-DE-0646', 'name': 'Total number of blood samples screened by ELISA/Rapid tests for viral hepatitis B i.e. HBsAg (excluding pregnant women)', 'similarity': 0.576}]",Manual source/custodian confirmation required
HMIS-DE-CAND-STATE-009,HMIS-RPTCOL-STATE-0433,HMIS-RPTSCHEMA-STATE-20260901-001,433,M14,Patient Services,14.20.2.c.ii,Total number of patients put on treatment for Hepatitis C (out of those confirmed by HCV RNA i.e. HCV RNA detected),Viral hepatitis care cascade,Observed in checksum-preserved user-supplied State HMIS header extract,Not obtained,Not possible—original workbook unavailable,Hold as candidate; do not increase canonical 700-element count,"[{'elementId': 'HMIS-DE-0688', 'name': 'Total number of positive blood samples for Hepatitis C screened by test (ELISA/ Rapid tests) confirmed by HCV RNA testing (out of those positive for anti-HCV)', 'similarity': 0.558}, {'elementId': 'HMIS-DE-0653', 'name': 'Total number of blood samples tested positive by ELISA/ Rapid tests for Hepatitis C (out of those tested for Anti-HCV)', 'similarity': 0.52}, {'elementId': 'HMIS-DE-0652', 'name': 'Total number of blood samples tested positive by ELISA/ Rapid tests for Hepatitis B (out of those tested for HBsAg excluding pregnant women)', 'similarity': 0.514}]",Manual source/custodian confirmation required
HMIS-DE-CAND-STATE-010,HMIS-RPTCOL-STATE-0434,HMIS-RPTSCHEMA-STATE-20260901-001,434,M14,Patient Services,14.20.2.c.iii,Total number of positive Hepatitis C patients who have completed treatment,Viral hepatitis care cascade,Observed in checksum-preserved user-supplied State HMIS header extract,Not obtained,Not possible—original workbook unavailable,Hold as candidate; do not increase canonical 700-element count,"[{'elementId': 'HMIS-DE-0445', 'name': 'Number of Palliative Patients visited at home', 'similarity': 0.588}, {'elementId': 'HMIS-DE-0670', 'name': 'Total number of geriatric/elderly patients (age>=60 yrs) Registered', 'similarity': 0.565}, {'elementId': 'HMIS-DE-0653', 'name': 'Total number of blood samples tested positive by ELISA/ Rapid tests for Hepatitis C (out of those tested for Anti-HCV)', 'similarity': 0.55}]",Manual source/custodian confirmation required
