lineageId,schemaId,occurrenceId,canonicalElementId,moduleCode,reportSourceCode,canonicalObservedCodes,codeRelationship,observedOn,action
HMIS-CODELINE-STATE-001,HMIS-RPTSCHEMA-STATE-20260901-001,HMIS-RPTCOL-STATE-0036,HMIS-DE-0681,M1,1.1,1.1,Existing observed code,2026-09-01,Retain as schema-specific occurrence; do not overwrite canonical code history
HMIS-CODELINE-STATE-002,HMIS-RPTSCHEMA-STATE-20260901-001,HMIS-RPTCOL-STATE-0037,HMIS-DE-0593,M1,1.1.a,1.1.a,Existing observed code,2026-09-01,Retain as schema-specific occurrence; do not overwrite canonical code history
HMIS-CODELINE-STATE-003,HMIS-RPTSCHEMA-STATE-20260901-001,HMIS-RPTCOL-STATE-0038,HMIS-DE-0592,M1,1.1.b,1.1.b,Existing observed code,2026-09-01,Retain as schema-specific occurrence; do not overwrite canonical code history
HMIS-CODELINE-STATE-004,HMIS-RPTSCHEMA-STATE-20260901-001,HMIS-RPTCOL-STATE-0039,HMIS-DE-0594,M1,1.1.c,1.1.c,Existing observed code,2026-09-01,Retain as schema-specific occurrence; do not overwrite canonical code history
HMIS-CODELINE-STATE-005,HMIS-RPTSCHEMA-STATE-20260901-001,HMIS-RPTCOL-STATE-0040,HMIS-DE-0595,M1,1.1.d,1.1.d,Existing observed code,2026-09-01,Retain as schema-specific occurrence; do not overwrite canonical code history
HMIS-CODELINE-STATE-006,HMIS-RPTSCHEMA-STATE-20260901-001,HMIS-RPTCOL-STATE-0041,HMIS-DE-0573,M1,1.1.1,1.1.1,Existing observed code,2026-09-01,Retain as schema-specific occurrence; do not overwrite canonical code history
HMIS-CODELINE-STATE-007,HMIS-RPTSCHEMA-STATE-20260901-001,HMIS-RPTCOL-STATE-0042,HMIS-DE-0624,M1,1.1.2,1.1.2,Existing observed code,2026-09-01,Retain as schema-specific occurrence; do not overwrite canonical code history
HMIS-CODELINE-STATE-008,HMIS-RPTSCHEMA-STATE-20260901-001,HMIS-RPTCOL-STATE-0043,HMIS-DE-0493,M1,1.2.1,1.2.1,Existing observed code,2026-09-01,Retain as schema-specific occurrence; do not overwrite canonical code history
HMIS-CODELINE-STATE-009,HMIS-RPTSCHEMA-STATE-20260901-001,HMIS-RPTCOL-STATE-0044,HMIS-DE-0494,M1,1.2.2,1.2.2,Existing observed code,2026-09-01,Retain as schema-specific occurrence; do not overwrite canonical code history
HMIS-CODELINE-STATE-010,HMIS-RPTSCHEMA-STATE-20260901-001,HMIS-RPTCOL-STATE-0045,HMIS-DE-0492,M1,1.2.3,1.2.3,Existing observed code,2026-09-01,Retain as schema-specific occurrence; do not overwrite canonical code history
HMIS-CODELINE-STATE-011,HMIS-RPTSCHEMA-STATE-20260901-001,HMIS-RPTCOL-STATE-0046,HMIS-DE-0497,M1,1.2.4,1.2.4,Existing observed code,2026-09-01,Retain as schema-specific occurrence; do not overwrite canonical code history
HMIS-CODELINE-STATE-012,HMIS-RPTSCHEMA-STATE-20260901-001,HMIS-RPTCOL-STATE-0047,HMIS-DE-0498,M1,1.2.5,1.2.5,Existing observed code,2026-09-01,Retain as schema-specific occurrence; do not overwrite canonical code history
HMIS-CODELINE-STATE-013,HMIS-RPTSCHEMA-STATE-20260901-001,HMIS-RPTCOL-STATE-0048,HMIS-DE-0490,M1,1.2.6,1.2.6,Existing observed code,2026-09-01,Retain as schema-specific occurrence; do not overwrite canonical code history
HMIS-CODELINE-STATE-014,HMIS-RPTSCHEMA-STATE-20260901-001,HMIS-RPTCOL-STATE-0049,HMIS-DE-0499,M1,1.2.7,1.2.7,Existing observed code,2026-09-01,Retain as schema-specific occurrence; do not overwrite canonical code history
HMIS-CODELINE-STATE-015,HMIS-RPTSCHEMA-STATE-20260901-001,HMIS-RPTCOL-STATE-0050,HMIS-DE-0489,M1,1.2.8,1.2.8,Existing observed code,2026-09-01,Retain as schema-specific occurrence; do not overwrite canonical code history
HMIS-CODELINE-STATE-016,HMIS-RPTSCHEMA-STATE-20260901-001,HMIS-RPTCOL-STATE-0051,HMIS-DE-0251,M1,1.3.1,1.3.1,Existing observed code,2026-09-01,Retain as schema-specific occurrence; do not overwrite canonical code history
HMIS-CODELINE-STATE-017,HMIS-RPTSCHEMA-STATE-20260901-001,HMIS-RPTCOL-STATE-0052,HMIS-DE-0505,M1,1.3.2,1.3.2,Existing observed code,2026-09-01,Retain as schema-specific occurrence; do not overwrite canonical code history
HMIS-CODELINE-STATE-018,HMIS-RPTSCHEMA-STATE-20260901-001,HMIS-RPTCOL-STATE-0053,HMIS-DE-0424,M1,1.3.3,1.3.3,Existing observed code,2026-09-01,Retain as schema-specific occurrence; do not overwrite canonical code history
HMIS-CODELINE-STATE-019,HMIS-RPTSCHEMA-STATE-20260901-001,HMIS-RPTCOL-STATE-0054,HMIS-DE-0457,M1,1.3.4,1.3.4,Existing observed code,2026-09-01,Retain as schema-specific occurrence; do not overwrite canonical code history
HMIS-CODELINE-STATE-020,HMIS-RPTSCHEMA-STATE-20260901-001,HMIS-RPTCOL-STATE-0055,HMIS-DE-0352,M1,1.3.5,1.3.5,Existing observed code,2026-09-01,Retain as schema-specific occurrence; do not overwrite canonical code history
HMIS-CODELINE-STATE-021,HMIS-RPTSCHEMA-STATE-20260901-001,HMIS-RPTCOL-STATE-0056,HMIS-DE-0501,M1,1.4.1,1.4.1,Existing observed code,2026-09-01,Retain as schema-specific occurrence; do not overwrite canonical code history
HMIS-CODELINE-STATE-022,HMIS-RPTSCHEMA-STATE-20260901-001,HMIS-RPTCOL-STATE-0057,HMIS-DE-0502,M1,1.4.2,1.4.2,Existing observed code,2026-09-01,Retain as schema-specific occurrence; do not overwrite canonical code history
HMIS-CODELINE-STATE-023,HMIS-RPTSCHEMA-STATE-20260901-001,HMIS-RPTCOL-STATE-0058,HMIS-DE-0495,M1,1.4.3,1.4.3,Existing observed code,2026-09-01,Retain as schema-specific occurrence; do not overwrite canonical code history
HMIS-CODELINE-STATE-024,HMIS-RPTSCHEMA-STATE-20260901-001,HMIS-RPTCOL-STATE-0059,HMIS-DE-0496,M1,1.4.4,1.4.4,Existing observed code,2026-09-01,Retain as schema-specific occurrence; do not overwrite canonical code history
HMIS-CODELINE-STATE-025,HMIS-RPTSCHEMA-STATE-20260901-001,HMIS-RPTCOL-STATE-0060,HMIS-DE-0504,M1,1.4.5,1.4.5,Existing observed code,2026-09-01,Retain as schema-specific occurrence; do not overwrite canonical code history
HMIS-CODELINE-STATE-026,HMIS-RPTSCHEMA-STATE-20260901-001,HMIS-RPTCOL-STATE-0061,HMIS-DE-0500,M1,1.5.1,1.5.1,Existing observed code,2026-09-01,Retain as schema-specific occurrence; do not overwrite canonical code history
HMIS-CODELINE-STATE-027,HMIS-RPTSCHEMA-STATE-20260901-001,HMIS-RPTCOL-STATE-0062,HMIS-DE-0503,M1,1.5.2,1.5.2,Existing observed code,2026-09-01,Retain as schema-specific occurrence; do not overwrite canonical code history
HMIS-CODELINE-STATE-028,HMIS-RPTSCHEMA-STATE-20260901-001,HMIS-RPTCOL-STATE-0063,HMIS-DE-0358,M1,1.5.3,1.5.3,Existing observed code,2026-09-01,Retain as schema-specific occurrence; do not overwrite canonical code history
HMIS-CODELINE-STATE-029,HMIS-RPTSCHEMA-STATE-20260901-001,HMIS-RPTCOL-STATE-0064,HMIS-DE-0485,M1,1.6.1.a,1.6.1.a,Existing observed code,2026-09-01,Retain as schema-specific occurrence; do not overwrite canonical code history
HMIS-CODELINE-STATE-030,HMIS-RPTSCHEMA-STATE-20260901-001,HMIS-RPTCOL-STATE-0065,HMIS-DE-0483,M1,1.6.1.b,1.6.1.b,Existing observed code,2026-09-01,Retain as schema-specific occurrence; do not overwrite canonical code history
HMIS-CODELINE-STATE-031,HMIS-RPTSCHEMA-STATE-20260901-001,HMIS-RPTCOL-STATE-0066,HMIS-DE-0484,M1,1.6.1.c,1.6.1.c,Existing observed code,2026-09-01,Retain as schema-specific occurrence; do not overwrite canonical code history
HMIS-CODELINE-STATE-032,HMIS-RPTSCHEMA-STATE-20260901-001,HMIS-RPTCOL-STATE-0067,HMIS-DE-0399,M1,1.6.1.d,1.6.1.d,Existing observed code,2026-09-01,Retain as schema-specific occurrence; do not overwrite canonical code history
HMIS-CODELINE-STATE-033,HMIS-RPTSCHEMA-STATE-20260901-001,HMIS-RPTCOL-STATE-0068,HMIS-DE-0290,M1,1.6.1.e,1.6.1.e,Existing observed code,2026-09-01,Retain as schema-specific occurrence; do not overwrite canonical code history
HMIS-CODELINE-STATE-034,HMIS-RPTSCHEMA-STATE-20260901-001,HMIS-RPTCOL-STATE-0069,HMIS-DE-0538,M1,1.6.1.f,1.6.1.f,Existing observed code,2026-09-01,Retain as schema-specific occurrence; do not overwrite canonical code history
HMIS-CODELINE-STATE-035,HMIS-RPTSCHEMA-STATE-20260901-001,HMIS-RPTCOL-STATE-0070,HMIS-DE-0478,M1,1.7.1,1.7.1,Existing observed code,2026-09-01,Retain as schema-specific occurrence; do not overwrite canonical code history
HMIS-CODELINE-STATE-036,HMIS-RPTSCHEMA-STATE-20260901-001,HMIS-RPTCOL-STATE-0071,HMIS-DE-0479,M1,1.7.2,1.7.2,Existing observed code,2026-09-01,Retain as schema-specific occurrence; do not overwrite canonical code history
HMIS-CODELINE-STATE-037,HMIS-RPTSCHEMA-STATE-20260901-001,HMIS-RPTCOL-STATE-0072,HMIS-DE-0476,M1,1.8.1,1.8.1,Existing observed code,2026-09-01,Retain as schema-specific occurrence; do not overwrite canonical code history
HMIS-CODELINE-STATE-038,HMIS-RPTSCHEMA-STATE-20260901-001,HMIS-RPTCOL-STATE-0073,HMIS-DE-0468,M1,1.8.2,1.8.2,Existing observed code,2026-09-01,Retain as schema-specific occurrence; do not overwrite canonical code history
HMIS-CODELINE-STATE-039,HMIS-RPTSCHEMA-STATE-20260901-001,HMIS-RPTCOL-STATE-0074,HMIS-DE-0475,M1,1.8.3,1.7.3; 1.8.3,Existing observed code,2026-09-01,Retain as schema-specific occurrence; do not overwrite canonical code history
HMIS-CODELINE-STATE-040,HMIS-RPTSCHEMA-STATE-20260901-001,HMIS-RPTCOL-STATE-0075,HMIS-DE-0632,M1,1.9.1,1.9.1,Existing observed code,2026-09-01,Retain as schema-specific occurrence; do not overwrite canonical code history
HMIS-CODELINE-STATE-041,HMIS-RPTSCHEMA-STATE-20260901-001,HMIS-RPTCOL-STATE-0076,HMIS-DE-0469,M1,1.9.1.a,1.8.1.a; 1.9.1.a,Existing observed code,2026-09-01,Retain as schema-specific occurrence; do not overwrite canonical code history
HMIS-CODELINE-STATE-042,HMIS-RPTSCHEMA-STATE-20260901-001,HMIS-RPTCOL-STATE-0077,HMIS-DE-0470,M1,1.9.1.b,1.8.1.b; 1.9.1.b,Existing observed code,2026-09-01,Retain as schema-specific occurrence; do not overwrite canonical code history
HMIS-CODELINE-STATE-043,HMIS-RPTSCHEMA-STATE-20260901-001,HMIS-RPTCOL-STATE-0078,HMIS-DE-0465,M1,1.9.1.c,1.8.1.c; 1.9.1.c,Existing observed code,2026-09-01,Retain as schema-specific occurrence; do not overwrite canonical code history
HMIS-CODELINE-STATE-044,HMIS-RPTSCHEMA-STATE-20260901-001,HMIS-RPTCOL-STATE-0079,HMIS-DE-0466,M1,1.9.1.d,1.8.1.d; 1.9.1.d,Existing observed code,2026-09-01,Retain as schema-specific occurrence; do not overwrite canonical code history
