indicatorId,indicatorName,formula,numeratorText,denominatorText,currentNumeratorCandidateIds,observedNumeratorElementIds,observedNumeratorOccurrenceIds,currentDenominatorCandidateIds,observedDenominatorElementIds,observedDenominatorOccurrenceIds,externalDenominatorRequired,computabilityAssessment,lowestPotentialGeography,decision,measureType,scaleDisplay,normalizedFormula,denominatorPopulation,displayDefinition
"IND-HMIS-IND-001","ANC registration rate","(Numerator ÷ denominator) × 100","Total ANC registered","Estimated pregnancies","HMIS-DE-0681; HMIS-DE-0624; HMIS-DE-0573","HMIS-DE-0681; HMIS-DE-0624; HMIS-DE-0573","HMIS-RPTCOL-STATE-0036; HMIS-RPTCOL-STATE-0042; HMIS-RPTCOL-STATE-0041","","","","true","Numerator observed; external denominator required","Facility where numerator and denominator are valid at facility level; otherwise aggregate level defined by denominator","Do not alter formula or claim computability until candidate crosswalks and denominator provenance are reviewed","Percentage/proportion","%","(numerator ÷ denominator) × 100","Estimated pregnancies","% of pregnant women who used ANC care provided by skilled health personnel. Denominator population: Estimated pregnancies."
"IND-HMIS-IND-002","Early registration rate","(Numerator ÷ denominator) × 100","Total no. of ANC registered within first trimester (12weeks)","Total ANC registered","HMIS-DE-0573","HMIS-DE-0573","HMIS-RPTCOL-STATE-0041","HMIS-DE-0681; HMIS-DE-0624; HMIS-DE-0573","HMIS-DE-0681; HMIS-DE-0624; HMIS-DE-0573","HMIS-RPTCOL-STATE-0036; HMIS-RPTCOL-STATE-0042; HMIS-RPTCOL-STATE-0041","false","Potentially computable from observed schema; crosswalk validation pending","Facility where numerator and denominator are valid at facility level; otherwise aggregate level defined by denominator","Do not alter formula or claim computability until candidate crosswalks and denominator provenance are reviewed","Percentage/proportion","%","(numerator ÷ denominator) × 100","Total ANC registered","Proportion of women who were registered within first trimester (12weeks) of pregnancy. Denominator population: Total ANC registered."
"IND-HMIS-IND-003","TT2/Booster coverage rate","(Numerator ÷ denominator) × 100","Total no. pregnant women given TT2/booster","Total ANC registered","HMIS-DE-0492","HMIS-DE-0492","HMIS-RPTCOL-STATE-0045","HMIS-DE-0681; HMIS-DE-0624; HMIS-DE-0573","HMIS-DE-0681; HMIS-DE-0624; HMIS-DE-0573","HMIS-RPTCOL-STATE-0036; HMIS-RPTCOL-STATE-0042; HMIS-RPTCOL-STATE-0041","false","Potentially computable from observed schema; crosswalk validation pending","Facility where numerator and denominator are valid at facility level; otherwise aggregate level defined by denominator","Do not alter formula or claim computability until candidate crosswalks and denominator provenance are reviewed","Percentage/proportion","%","(numerator ÷ denominator) × 100","Total ANC registered","% of women who were given TT2/Booster dose during current pregnancy. Denominator population: Total ANC registered."
"IND-HMIS-IND-004","ANC 3 checkups rate","(Numerator ÷ denominator) × 100","Total ANC 3 check ups","Total ANC registered","HMIS-DE-0499","HMIS-DE-0499","HMIS-RPTCOL-STATE-0049","HMIS-DE-0681; HMIS-DE-0624; HMIS-DE-0573","HMIS-DE-0681; HMIS-DE-0624; HMIS-DE-0573","HMIS-RPTCOL-STATE-0036; HMIS-RPTCOL-STATE-0042; HMIS-RPTCOL-STATE-0041","false","Potentially computable from observed schema; crosswalk validation pending","Facility where numerator and denominator are valid at facility level; otherwise aggregate level defined by denominator","Do not alter formula or claim computability until candidate crosswalks and denominator provenance are reviewed","Percentage/proportion","%","(numerator ÷ denominator) × 100","Total ANC registered","% of pregnant women who used antenatal care provided by skilled health personnel at least 3 times during pregnancy. Denominator population: Total ANC registered."
"IND-HMIS-IND-005","ANC 100 IFA coverage rate","(Numerator ÷ denominator) × 100","Total no. of ANC women given 100 IFA tablets","Total ANC registered","HMIS-DE-0444","HMIS-DE-0444","HMIS-RPTCOL-STATE-0131","HMIS-DE-0681; HMIS-DE-0624; HMIS-DE-0573","HMIS-DE-0681; HMIS-DE-0624; HMIS-DE-0573","HMIS-RPTCOL-STATE-0036; HMIS-RPTCOL-STATE-0042; HMIS-RPTCOL-STATE-0041","false","Potentially computable from observed schema; crosswalk validation pending","Facility where numerator and denominator are valid at facility level; otherwise aggregate level defined by denominator","Do not alter formula or claim computability until candidate crosswalks and denominator provenance are reviewed","Percentage/proportion","%","(numerator ÷ denominator) × 100","Total ANC registered","% of women who were given at least 100 IFA tablets. Denominator population: Total ANC registered."
"IND-HMIS-IND-006","Full immunization coverage rate","(Numerator ÷ denominator) × 100","Total Number of children aged between 9 and 11 months who have been fully immunized","Estimated children below 1 year","HMIS-DE-0136; HMIS-DE-0135; HMIS-DE-0314","HMIS-DE-0136; HMIS-DE-0135","HMIS-RPTCOL-STATE-0214; HMIS-RPTCOL-STATE-0215","HMIS-DE-0154","HMIS-DE-0154","HMIS-RPTCOL-STATE-0548","false","Potentially computable from observed schema; crosswalk validation pending","Facility where numerator and denominator are valid at facility level; otherwise aggregate level defined by denominator","Do not alter formula or claim computability until candidate crosswalks and denominator provenance are reviewed","Percentage/proportion","%","(numerator ÷ denominator) × 100","Estimated children below 1 year","% of children aged between 9 and 11 months who have been fully immunized (Child given one dose of BCG, three dosages of DPT i.e. DPT 1,2,3; three dosages of polio i.e. OPV 1,2,3 and a dosage of Measles). Denominator population: Estimated children below 1 year."
"IND-HMIS-IND-007","BCG Coverage rate","(Numerator ÷ denominator) × 100","BCG dose under 1 year","Estimated children below 1 year","HMIS-DE-0062","HMIS-DE-0062","HMIS-RPTCOL-STATE-0238","HMIS-DE-0154","HMIS-DE-0154","HMIS-RPTCOL-STATE-0548","false","Potentially computable from observed schema; crosswalk validation pending","Facility where numerator and denominator are valid at facility level; otherwise aggregate level defined by denominator","Do not alter formula or claim computability until candidate crosswalks and denominator provenance are reviewed","Percentage/proportion","%","(numerator ÷ denominator) × 100","Estimated children below 1 year","The percentage of live births that received BCG within one year. Denominator population: Estimated children below 1 year."
"IND-HMIS-IND-008","DPT3 Coverage rate","(Numerator ÷ denominator) × 100","DPT 3 dose under 1 year","Estimated children below 1 year","HMIS-DE-0062","HMIS-DE-0062","HMIS-RPTCOL-STATE-0238","HMIS-DE-0154","HMIS-DE-0154","HMIS-RPTCOL-STATE-0548","false","Potentially computable from observed schema; crosswalk validation pending","Facility where numerator and denominator are valid at facility level; otherwise aggregate level defined by denominator","Do not alter formula or claim computability until candidate crosswalks and denominator provenance are reviewed","Percentage/proportion","%","(numerator ÷ denominator) × 100","Estimated children below 1 year","The percentage of children who received their 3 doses of DTP-3. Denominator population: Estimated children below 1 year."
"IND-HMIS-IND-009","OPV3 Coverage rate","(Numerator ÷ denominator) × 100","OPV 3 dose under 1 year","Estimated children below 1 year","HMIS-DE-0062","HMIS-DE-0062","HMIS-RPTCOL-STATE-0238","HMIS-DE-0154","HMIS-DE-0154","HMIS-RPTCOL-STATE-0548","false","Potentially computable from observed schema; crosswalk validation pending","Facility where numerator and denominator are valid at facility level; otherwise aggregate level defined by denominator","Do not alter formula or claim computability until candidate crosswalks and denominator provenance are reviewed","Percentage/proportion","%","(numerator ÷ denominator) × 100","Estimated children below 1 year","The percentage of children under 1 immunised with OPV dose 3. Denominator population: Estimated children below 1 year."
"IND-HMIS-IND-010","Measles coverage rate","(Numerator ÷ denominator) × 100","Measles dose under 1 year","Estimated children below 1 year","HMIS-DE-0062","HMIS-DE-0062","HMIS-RPTCOL-STATE-0238","HMIS-DE-0154","HMIS-DE-0154","HMIS-RPTCOL-STATE-0548","false","Potentially computable from observed schema; crosswalk validation pending","Facility where numerator and denominator are valid at facility level; otherwise aggregate level defined by denominator","Do not alter formula or claim computability until candidate crosswalks and denominator provenance are reviewed","Percentage/proportion","%","(numerator ÷ denominator) × 100","Estimated children below 1 year","The percentage of children who received their measles dose (normally at 9 months). Denominator population: Estimated children below 1 year."
"IND-HMIS-IND-011","BCG - measles dropout rates","(Numerator ÷ denominator) × 100","Total number of infants (0-11 months), given BCG immunization- number of children given measles","Number of children given BCG","HMIS-DE-0386","","","HMIS-DE-0313","","","false","Not supported by currently linked observed fields","Facility where numerator and denominator are valid at facility level; otherwise aggregate level defined by denominator","Do not alter formula or claim computability until candidate crosswalks and denominator provenance are reviewed","Percentage/proportion","%","(numerator ÷ denominator) × 100","Number of children given BCG","% of children who dropped out of immunisation schedule between BCG dose measles dose. Denominator population: Number of children given BCG."
"IND-HMIS-IND-012","DPT3 - Measles dropout rate","(Numerator ÷ denominator) × 100","Number of children given DPT 3 – number of children given measles","Number of children given DPT3","HMIS-DE-0313","","","HMIS-DE-0313","","","false","Not supported by currently linked observed fields","Facility where numerator and denominator are valid at facility level; otherwise aggregate level defined by denominator","Do not alter formula or claim computability until candidate crosswalks and denominator provenance are reviewed","Percentage/proportion","%","(numerator ÷ denominator) × 100","Number of children given DPT3","The percentage of children who dropped out of the immunisation schedule between the third doses (normally at 14 weeks) and the measles dose (normally at 9 months). Denominator population: Number of children given DPT3."
