id,title,version,scope,access,status,url
"NTEP-EQA-2023","Comprehensive Guidance for External Quality Assessment of TB Laboratories under NTEP","Official PDF accessed 2026-08-25","Chapter 6 KPIs, case-finding/laboratory indicators and Annexures 6.1-6.4","Public PDF","Included - bounded chapters and annexures","https://tbcindia.mohfw.gov.in/wp-content/uploads/2023/05/7236636542Comprehensive-Guidance-for-External-Quality-Assessment-of-TB-Laboratories-under-National-TB-Elimination-Programme.pdf"
"NTEP-CBNAAT-XLS","CBNAAT Monthly Lab Indicators workbook","Official XLSX accessed 2026-08-25","CBNAAT monthly reporting elements","Public XLSX","Cross-checked; current PDF annexure used as primary","https://tbcindia.mohfw.gov.in/wp-content/uploads/2023/05/585485341CBNAAT-Monthly-Lab-Indicators.xlsx"
"NTEP-LAB-Q-XLS","Quarterly Report on Laboratory Performance Indicators","Official XLSX accessed 2026-08-25","Nineteen C&DST laboratory performance measures","Public XLSX","Included","https://tbcindia.mohfw.gov.in/wp-content/uploads/2023/05/6042225208R-R_Quarterly-Report-on-Lab-Performance-Indicators.xlsx"
"NTEP-DRTB-2024","National Guidelines for Management of Drug Resistant TB","November 2024","Section 6 recording, reporting and programme monitoring","Public PDF","Included - Section 6.2","https://tbcindia.mohfw.gov.in/wp-content/uploads/2025/01/National-Guidelines-for-Management-of-DR-TB_Final-website.pdf"
"NTEP-TMP-2023","TB Mukt Panchayat Handbook","Official handbook accessed 2026-08-25","Prerequisites, verification indicators and claim forms","Public PDF","Included - verification indicators","https://tbcindia.mohfw.gov.in/wp-content/uploads/2023/05/956455182TB-Mukt-Panchayat-Handbook.pdf"
"NTEP-TBREPORT-2024","India TB Report 2024","2024 edition","National/state performance, TB Index, programme chapters and appendices","Public PDF","Used for contextual cross-check; complete table extraction pending","https://tbcindia.mohfw.gov.in/wp-content/uploads/2024/10/TB-Report_for-Web_08_10-2024-1.pdf"
"NTEP-PERFORMANCE","NTEP Performance Reports","Live page checked 2026-08-25","Published indicator definitions, quarterly, annual and state reports","Public HTML/reports","Included for definition cross-check; historical reports pending","https://tbcindia.mohfw.gov.in/performance-reports/"
"NTEP-FORMS-LEGACY","Forms and Registers","Legacy RNTCP-era forms on current website","PHI, TU, district and state PMR forms, treatment card and registers","Public PDF","Catalogued as historical; not treated as current Ni-kshay definitions","https://tbcindia.mohfw.gov.in/forms-registers/"
"NTEP-NIKSHAY","Ni-kshay live reporting system and reports","Live system","Patient-wise and aggregate operational data dictionary and downloadable reports","Restricted/login-dependent","Pending - public metadata insufficient for source-complete extraction","https://reports.nikshay.in/"
"NTEP-COMMUNITY-2026","Ni-kshay Mitra and community-engagement guidance","2026","Community follow-up, adherence, nutrition, symptoms, adverse reactions and support","Public PDF/pages","Source census complete; stable indicator definitions pending","https://tbcindia.mohfw.gov.in/community-engagement/"
