id,name,officialNameStatus,programmeComponent,recordClass,measureType,scaleDisplay,normalizedFormula,denominatorPopulation,sourceDocument,sourceSection,sourceItemCode,sourcePage,reportingLevel,lowestReportingLevel,relatedIndicatorIds,crosswalkStatus,url
IND-RMNCHA2-001,1 Trimester registration to total ANC registration,Verbatim source-table label,Pregnancy care,,Percentage/proportion,%,(numerator ÷ denominator) × 100,Total ANC registration,"A Strategic Approach to Reproductive, Maternal, Newborn, Child and Adolescent Health (RMNCH+A) in India",Annexure 2: Score Card,HMIS-01,PDF pages 75–76,Facility; block; district; state; national,Facility/community,IND-HMIS-IND-002,Curated concept link to existing HMIS indicator; definitions remain separate,https://nhm.gov.in/images/pdf/RMNCH%2BA/RMNCH%2BA_Strategy.pdf
IND-RMNCHA2-002,Pregnant women received 3 ANC to total ANC registration,Verbatim source-table label,Pregnancy care,,Percentage/proportion,%,(numerator ÷ denominator) × 100,Total ANC registration,"A Strategic Approach to Reproductive, Maternal, Newborn, Child and Adolescent Health (RMNCH+A) in India",Annexure 2: Score Card,HMIS-02,PDF pages 75–76,Facility; block; district; state; national,Facility/community,IND-HMIS-IND-004,Curated concept link to existing HMIS indicator; definitions remain separate,https://nhm.gov.in/images/pdf/RMNCH%2BA/RMNCH%2BA_Strategy.pdf
IND-RMNCHA2-003,Pregnant women given 100 IFA to total ANC registration,Verbatim source-table label,Pregnancy care,,Percentage/proportion,%,(numerator ÷ denominator) × 100,Total ANC registration,"A Strategic Approach to Reproductive, Maternal, Newborn, Child and Adolescent Health (RMNCH+A) in India",Annexure 2: Score Card,HMIS-03,PDF pages 75–76,Facility; block; district; state; national,Facility/community,IND-HMIS-IND-005,Curated concept link to existing HMIS indicator; definitions remain separate,https://nhm.gov.in/images/pdf/RMNCH%2BA/RMNCH%2BA_Strategy.pdf
IND-RMNCHA2-004,Cases of pregnant women with Obstetric Complications and attended to reported deliveries,Verbatim source-table label,Pregnancy care,,Percentage/proportion,%,(numerator ÷ denominator) × 100,Reported deliveries,"A Strategic Approach to Reproductive, Maternal, Newborn, Child and Adolescent Health (RMNCH+A) in India",Annexure 2: Score Card,HMIS-04,PDF pages 75–76,Facility; block; district; state; national,Facility/community,,No reviewed main-registry crosswalk yet,https://nhm.gov.in/images/pdf/RMNCH%2BA/RMNCH%2BA_Strategy.pdf
IND-RMNCHA2-005,Pregnant women receiving TT2 or Booster to total ANC registration,Verbatim source-table label,Pregnancy care,,Percentage/proportion,%,(numerator ÷ denominator) × 100,Total ANC registration,"A Strategic Approach to Reproductive, Maternal, Newborn, Child and Adolescent Health (RMNCH+A) in India",Annexure 2: Score Card,HMIS-05,PDF pages 75–76,Facility; block; district; state; national,Facility/community,IND-HMIS-IND-003,Curated concept link to existing HMIS indicator; definitions remain separate,https://nhm.gov.in/images/pdf/RMNCH%2BA/RMNCH%2BA_Strategy.pdf
IND-RMNCHA2-006,Post-partum sterilization to total female sterilization,Verbatim source-table label,Reproductive age group,,Percentage/proportion,%,(numerator ÷ denominator) × 100,Total female sterilization,"A Strategic Approach to Reproductive, Maternal, Newborn, Child and Adolescent Health (RMNCH+A) in India",Annexure 2: Score Card,HMIS-06,PDF pages 75–76,Facility; block; district; state; national,Facility/community,,No reviewed main-registry crosswalk yet,https://nhm.gov.in/images/pdf/RMNCH%2BA/RMNCH%2BA_Strategy.pdf
IND-RMNCHA2-007,Male sterilization to total sterilization,Verbatim source-table label,Reproductive age group,,Percentage/proportion,%,(numerator ÷ denominator) × 100,Total sterilization,"A Strategic Approach to Reproductive, Maternal, Newborn, Child and Adolescent Health (RMNCH+A) in India",Annexure 2: Score Card,HMIS-07,PDF pages 75–76,Facility; block; district; state; national,Facility/community,,No reviewed main-registry crosswalk yet,https://nhm.gov.in/images/pdf/RMNCH%2BA/RMNCH%2BA_Strategy.pdf
IND-RMNCHA2-008,IUD insertions in public plus private accredited institutions to all family planning methods (IUD plus permanent),Verbatim source-table label,Reproductive age group,,Percentage/proportion,%,(numerator ÷ denominator) × 100,All family planning methods (IUD plus permanent),"A Strategic Approach to Reproductive, Maternal, Newborn, Child and Adolescent Health (RMNCH+A) in India",Annexure 2: Score Card,HMIS-08,PDF pages 75–76,Facility; block; district; state; national,Facility/community,,No reviewed main-registry crosswalk yet,https://nhm.gov.in/images/pdf/RMNCH%2BA/RMNCH%2BA_Strategy.pdf
IND-RMNCHA2-009,SBA attended home deliveries to total reported home deliveries,Verbatim source-table label,Child birth,,Percentage/proportion,%,(numerator ÷ denominator) × 100,Total reported home deliveries,"A Strategic Approach to Reproductive, Maternal, Newborn, Child and Adolescent Health (RMNCH+A) in India",Annexure 2: Score Card,HMIS-09,PDF pages 75–76,Facility; block; district; state; national,Facility/community,IND-HMIS-IND-016,Curated concept link to existing HMIS indicator; definitions remain separate,https://nhm.gov.in/images/pdf/RMNCH%2BA/RMNCH%2BA_Strategy.pdf
IND-RMNCHA2-010,Institutional deliveries to total ANC registration,Verbatim source-table label,Child birth,,Percentage/proportion,%,(numerator ÷ denominator) × 100,Total ANC registration,"A Strategic Approach to Reproductive, Maternal, Newborn, Child and Adolescent Health (RMNCH+A) in India",Annexure 2: Score Card,HMIS-10,PDF pages 75–76,Facility; block; district; state; national,Facility/community,IND-HMIS-IND-014,Curated concept link to existing HMIS indicator; definitions remain separate,https://nhm.gov.in/images/pdf/RMNCH%2BA/RMNCH%2BA_Strategy.pdf
IND-RMNCHA2-011,C-Section to reported deliveries,Verbatim source-table label,Child birth,,Percentage/proportion,%,(numerator ÷ denominator) × 100,Reported deliveries,"A Strategic Approach to Reproductive, Maternal, Newborn, Child and Adolescent Health (RMNCH+A) in India",Annexure 2: Score Card,HMIS-11,PDF pages 75–76,Facility; block; district; state; national,Facility/community,IND-HMIS-IND-017,Curated concept link to existing HMIS indicator; definitions remain separate,https://nhm.gov.in/images/pdf/RMNCH%2BA/RMNCH%2BA_Strategy.pdf
IND-RMNCHA2-012,Newborns breast fed within 1 hour to total live births,Verbatim source-table label,Postnatal maternal and newborn care,,Percentage/proportion,%,(numerator ÷ denominator) × 100,Total live births,"A Strategic Approach to Reproductive, Maternal, Newborn, Child and Adolescent Health (RMNCH+A) in India",Annexure 2: Score Card,HMIS-12,PDF pages 75–76,Facility; block; district; state; national,Facility/community,IND-HMIS-IND-027,Curated concept link to existing HMIS indicator; definitions remain separate,https://nhm.gov.in/images/pdf/RMNCH%2BA/RMNCH%2BA_Strategy.pdf
IND-RMNCHA2-013,Women discharged in less than 48 hours of delivery in public institutions to total number of deliveries in public institutions,Verbatim source-table label,Postnatal maternal and newborn care,,Percentage/proportion,%,(numerator ÷ denominator) × 100,Total deliveries in public institutions,"A Strategic Approach to Reproductive, Maternal, Newborn, Child and Adolescent Health (RMNCH+A) in India",Annexure 2: Score Card,HMIS-13,PDF pages 75–76,Facility; block; district; state; national,Facility/community,,No reviewed main-registry crosswalk yet,https://nhm.gov.in/images/pdf/RMNCH%2BA/RMNCH%2BA_Strategy.pdf
