id,name,org,url,access,boundary,release,status,observedRecords,lastChecked
"WHO_IMR","WHO Indicator Metadata Registry","World Health Organization","https://www.who.int/data/gho/indicator-metadata-registry","HTML catalogue","Every English-language indicator link visible in the registry index at the cut-off date","Release 1","Included — source-complete index harvest","1320","2026-08-24"
"WB_HEALTH","World Bank Health Indicators","World Bank","https://api.worldbank.org/v2/topic/8/indicator","Indicators API","Every indicator returned under World Bank topic 8 (Health)","Release 1","Included — source-complete API harvest","658","2026-08-24"
"UN_SDG","UN Global SDG Indicator Framework","United Nations Statistics Division","https://unstats.un.org/SDGAPI/v1/sdg/Indicator/List","SDG API","Every indicator currently published in the official global framework; repeated target placements retained by the source","Release 1","Included — source-complete API harvest","251","2026-08-24"
"UNICEF_DW","UNICEF Indicator Data Warehouse","UNICEF","https://sdmx.data.unicef.org/ws/public/sdmxapi/rest/dataflow/all/GLOBAL_DATAFLOW/latest/","SDMX API","Every code in CL_UNICEF_INDICATOR used by the GLOBAL_DATAFLOW structure","Release 1","Included — source-complete SDMX codelist harvest","799","2026-08-24"
"PRIORITY","Curated Priority Public Health Collection","Multi-source synthesis","./downloads/research-synthesis.md","Curated research dataset","The 80 previously validated priority records; retained as a separate collection","Release 1","Included — curated collection","80","2026-08-24"
"WHO_CORE100","WHO Global Reference List of 100 Core Health Indicators","World Health Organization","https://www.who.int/publications/i/item/2018-global-reference-list-of-100-core-health-indicators-(plus-health-related-sdgs)","PDF","All listed core indicators and health-related SDGs","Release 2","Crosswalk pending; many concepts represented in Release 1 sources","0","2026-08-24"
"OECD_HEALTH","OECD Health Statistics","OECD","https://www.oecd.org/en/data/datasets/oecd-health-statistics.html","OECD Data Explorer / SDMX","All active OECD Health Statistics series","Release 2","Pending source-specific extraction","0","2026-08-24"
"EU_ECHI","European Core Health Indicators","European Commission","https://health.ec.europa.eu/indicators-and-data/european-core-health-indicators-echi_en","Web and downloads","All active ECHI indicators","Release 2","Pending source-specific extraction","0","2026-08-24"
"PAHO_PLISA","PAHO Core Indicators / PLISA","PAHO/WHO","https://opendata.paho.org/en/core-indicators","Web/API","All active regional core indicators","Release 2","Pending source-specific extraction","0","2026-08-24"
"JMP","WHO/UNICEF Joint Monitoring Programme","WHO and UNICEF","https://washdata.org/monitoring","Downloads","All household, school and facility WASH indicators","Release 2","Pending source-specific extraction","0","2026-08-24"
"UNAIDS","UNAIDS Indicator Registry / Global AIDS Monitoring","UNAIDS","https://indicatorregistry.unaids.org/","Web/reporting tool","All current GAM and registry indicators","Release 2","Pending source-specific extraction","0","2026-08-24"
"WHO_GLASS","WHO GLASS","World Health Organization","https://www.who.int/initiatives/glass","Reports and downloads","All standardized AMR and antimicrobial-use indicators","Release 2","Pending source-specific extraction","0","2026-08-24"
"ILOSTAT_OSH","ILOSTAT Occupational Safety and Health","International Labour Organization","https://rshiny.ilo.org/dataexplorer/","Bulk download / SDMX","All active occupational safety and health indicators","Release 2","Pending source-specific extraction","0","2026-08-24"
"WHO_SCORE","WHO SCORE for Health Data","World Health Organization","https://www.who.int/data/data-collection-tools/score","Reports and portal","All SCORE assessment indicators","Release 2","Pending source-specific extraction","0","2026-08-24"
"CIHI","CIHI Indicator Library","Canadian Institute for Health Information","https://www.cihi.ca/en/access-data-and-reports/indicator-library","Web/downloads","All current Canadian indicator records","National extensions","Out of Release 1 global boundary","0","2026-08-24"
"AHRQ","AHRQ Healthcare Quality Indicators","US HHS/AHRQ","https://qualityindicators.ahrq.gov/","Web/downloads","All current AHRQ quality indicators","National extensions","Out of Release 1 global boundary","0","2026-08-24"
"CDC_PLACES","CDC PLACES","US CDC","https://www.cdc.gov/places/","API/downloads","All current PLACES measures","National extensions","Out of Release 1 global boundary","0","2026-08-24"
"FINGERPRINTS","England Public Health Outcomes Framework / Fingertips","Office for Health Improvement and Disparities","https://fingertips.phe.org.uk/","API/downloads","All current Fingertips indicators","National extensions","Out of Release 1 global boundary","0","2026-08-24"
"IHME_GBD","IHME Global Burden of Disease Results","IHME","https://vizhub.healthdata.org/gbd-results/","Account-mediated downloads","All published GBD measures, causes and risks represented as versioned concepts","Release 2","Pending licence-appropriate extraction","0","2026-08-24"
"IND_HMIS_OGD","India Health Management Information System (HMIS)","Ministry of Health and Family Welfare, Government of India","https://www.data.gov.in/catalog/performance-key-hmis-indicators-upto-district-level-all-indicators","Portal, reports and OGD APIs/downloads","Current HMIS data elements, computed key indicators, facility reporting forms and definitions","India extension — Release 1","Included — verified official subset; source-complete extraction pending","12","2026-08-25"
"IND_NHM_RMNCHA","NHM RMNCH+A, RCH, RBSK and RKSK indicator sets","National Health Mission, MoHFW","https://nhm.gov.in/","Guidelines, reports and programme MIS","Official maternal, newborn, child, adolescent, reproductive-health and nutrition programme indicators","India extension — Release 1","Included — verified official subset; source-complete extraction pending","8","2026-08-25"
"IND_NHM_UIP","Universal Immunization Programme and Mission Indradhanush indicators","National Health Mission, MoHFW","https://nhm.gov.in/New_Updates_2018/NHM_Components/Immunization/Guildelines_for_immunization/Mission_Indradhanush_Guidelines.pdf","Operational guidelines and monitoring formats","Routine immunization, campaign, cold-chain and AEFI monitoring indicators","India extension — Release 1","Included — verified official subset; source-complete extraction pending","6","2026-08-25"
"IND_NTEP","National Tuberculosis Elimination Programme","Central Tuberculosis Division, MoHFW","https://tbcindia.mohfw.gov.in/monitoring-and-evaluation/","Ni-kshay reports, definitions, guidelines and monitoring tools","Public NTEP KPIs, Chapter 6 case-finding/laboratory indicators, CBNAAT/Truenat monthly formats, Annexure M, laboratory performance measures, DR-TB monitoring and TB Mukt Panchayat verification indicators","India extension - NTEP deep Release 1.2","Included - NTEP deep vertical Release 1.2; bounded official sources complete, restricted Ni-kshay dictionary pending","222","2026-08-25"
"IND_NACP","National AIDS and STD Control Programme Phase V","National AIDS Control Organisation, MoHFW","https://naco.mohfw.gov.in/sankalak/","Sankalak, SIMS formats, strategy and programme reports","NACP prevention, testing, treatment, viral suppression, key-population, STI, blood-safety and system indicators","India extension — Release 1","Included — verified official subset; source-complete extraction pending","12","2026-08-25"
"IND_NCVBDC","National Vector Borne Disease Control Programme","NCVBDC, Directorate General of Health Services","https://ncvbdc.mohfw.gov.in/index1.php?lang=1&level=1&lid=3686&sublinkid=5899&theme=Cream","Guidelines, surveillance reports and monitoring tools","Malaria, dengue, chikungunya, Japanese encephalitis, kala-azar and lymphatic-filariasis indicators","India extension — Release 1","Included — verified official subset; source-complete extraction pending","10","2026-08-25"
"IND_NLEP","National Leprosy Eradication Programme","Directorate General of Health Services, MoHFW","https://dghs.mohfw.gov.in/nlep.php","Programme dashboard, reports and strategic plan","Prevalence, new-case detection, child cases, disability, treatment and programme-performance indicators","India extension — Release 1","Included — verified official subset; source-complete extraction pending","4","2026-08-25"
"IND_IDSP_IHIP","Integrated Disease Surveillance Programme / IHIP","National Centre for Disease Control, MoHFW","https://ncdc.mohfw.gov.in/includes/About/CentresAndDivision/IDSP.php","IHIP portal, surveillance reports and forms","Syndromic, presumptive, laboratory, outbreak, timeliness, completeness and response indicators","India extension — Release 1","Included — verified official subset; source-complete extraction pending","6","2026-08-25"
"IND_NP_NCD","National Programme for Prevention and Control of Non-Communicable Diseases","Ministry of Health and Family Welfare, Government of India","https://www.mohfw.gov.in/sites/default/files/NP-NCD%20Operational%20Guidelines.pdf","Operational guidelines and NP-NCD portal/reporting formats","Population-based screening, diagnosis, treatment, control, follow-up, readiness and programme indicators","India extension — Release 1","Included — verified official subset; source-complete extraction pending","8","2026-08-25"
"IND_NQAS","National Quality Assurance Standards","National Health Systems Resource Centre, MoHFW","https://qps.nhsrcindia.org/national-quality-assurance-standards/nqas-tools","Assessment tools, standards and dashboards","Facility-level service, patient-rights, inputs, support, clinical-care, infection-control, management and outcome measures","India extension — Release 1","Included — verified official subset; source-complete extraction pending","9","2026-08-25"
